,DefectId,Severity,Project,rootCauseCategoryNG,Phase,Component,openDate,closedDate,plannedDurationInWeeks,developmentTeamSizeForRelease,testingTeamSizeForRelease,numberOfTestCaseExecuted,applicationCategory,Complexity,projectCMMILevel,applicationVersion
1,69,C-Medium,A,Detailed Design,Design Verification (DV),NGBA Phase 1 Drop A,7/2/2015,7/7/2015,100,200,100,1000,Existing,4,Level4,1
2,70,C-Medium,A,Detailed Design,Design Verification (DV),NGBA Phase 1 Drop A,7/2/2015,7/3/2015,100,200,100,1000,Existing,4,Level4,1
3,71,C-Medium,A,Detailed Design,Design Verification (DV),NGBA Phase 1 Drop A,7/2/2015,7/8/2015,100,200,100,1000,Existing,4,Level4,1
4,72,B-High,A,Not Available,Design Verification (DV),NGBA Phase 1 Drop A,7/2/2015,7/13/2015,100,200,100,1000,Existing,4,Level4,1
5,73,C-Medium,A,High Level Design,Static Testing (STT),NGBA Phase 1 Drop A,7/3/2015,7/8/2015,100,200,100,1000,Existing,4,Level4,1
6,74,B-High,A,Detailed Design,Design Verification (DV),NGBA Phase 1 Drop A,7/7/2015,7/20/2015,100,200,100,1000,Existing,4,Level4,1
7,75,B-High,A,Detailed Design,Design Verification (DV),NGBA Phase 1 Drop A,7/7/2015,7/20/2015,100,200,100,1000,Existing,4,Level4,1
8,76,B-High,A,Not Available,Static Testing (STT),NGBA Phase 1 Drop A,7/9/2015,7/14/2015,100,200,100,1000,Existing,4,Level4,1
9,78,C-Medium,A,Detailed Design,Static Testing (STT),NGBA Phase 1 Drop A,7/14/2015,7/16/2015,100,200,100,1000,Existing,4,Level4,1
10,79,C-Medium,A,Detailed Business Requirements,Static Testing (STT),NGBA Phase 1 Drop A,7/15/2015,7/20/2015,100,200,100,1000,Existing,4,Level4,1
11,80,C-Medium,A,Rejected-Duplicate,Static Testing (STT),NGBA Phase 1 Drop A,7/15/2015,7/16/2015,100,200,100,1000,Existing,4,Level4,1
12,81,C-Medium,A,Detailed Design,Static Testing (STT),NGBA Phase 1 Drop A,7/17/2015,7/27/2015,100,200,100,1000,Existing,4,Level4,1
13,82,D-Low,A,Detailed Business Requirements,Static Testing (STT),NGBA Phase 1 Drop A,7/24/2015,7/29/2015,100,200,100,1000,Existing,4,Level4,1
