defectId,severity,closedDate,application,openDate,rootCause,phase,projectName,status
4676,D-Low,12/5/2016,Pending Transactions,11/15/2016,Not Available,System Integration Test (SIT),A,Closed
4677,D-Low,11/15/2016,Pending Transactions,11/15/2016,Not Available,System Integration Test (SIT),A,Closed
4687,D-Low,1/18/2017,Pending Transactions,11/15/2016,Component Code,System Integration Test (SIT),A,Closed
4688,D-Low,11/30/2016,Pending Transactions,11/15/2016,Not Available,System Integration Test (SIT),A,Closed
4689,C-Medium,1/4/2017,Pending Transactions,11/15/2016,Component Code,System Integration Test (SIT),A,Closed
4693,C-Medium,11/23/2016,Pending Transactions,11/16/2016,Connectivity,System Integration Test (SIT),A,Closed
4694,C-Medium,11/18/2016,Pending Transactions,11/16/2016,Reference Data,System Integration Test (SIT),A,Closed
4695,D-Low,1/3/2017,Pending Transactions,11/16/2016,Detailed Design,System Integration Test (SIT),A,Closed
4700,B-High,11/22/2016,Pending Transactions,11/16/2016,Component Integration,System Integration Test (SIT),A,Closed
4705,B-High,12/20/2016,Pending Transactions,11/18/2016,Component Code,System Integration Test (SIT),A,Closed
4707,C-Medium,1/4/2017,Pending Transactions,11/21/2016,Component Code,System Integration Test (SIT),A,Closed
4710,C-Medium,12/2/2016,Pending Transactions,11/22/2016,Not Available,System Integration Test (SIT),A,Closed
4730,B-High,12/15/2016,Pending Transactions,11/30/2016,Not Available,System Integration Test (SIT),A,Closed
4745,C-Medium,1/3/2017,Pending Transactions,12/8/2016,Connectivity,System Integration Test (SIT),A,Closed
4798,C-Medium,2/2/2017,Pending Transactions,12/22/2016,Application Data,System Integration Test (SIT),A,Closed
4800,D-Low,1/18/2017,Pending Transactions,12/22/2016,Component Code,System Integration Test (SIT),A,Closed
4801,C-Medium,1/20/2017,Pending Transactions,12/22/2016,Component Code,System Integration Test (SIT),A,Closed
4802,C-Medium,1/18/2017,Pending Transactions,12/23/2016,Component Code,System Integration Test (SIT),A,Closed
4803,C-Medium,1/3/2017,Pending Transactions,12/23/2016,Not Available,System Integration Test (SIT),A,Closed
