defectId,severity,closedDate,application,openDate,weekNumber,rootCause,phase,projectName,status
4508,C-Medium,10/18/2016,NGBA Phase 2,10/5/2016,1,Not Available,System Integration Test (SIT),A,Closed
4510,C-Medium,11/8/2016,NGBA Phase 2,10/5/2016,1,Not Available,System Integration Test (SIT),A,Closed
4511,C-Medium,10/25/2016,NGBA Phase 2,10/5/2016,1,Not Available,System Integration Test (SIT),A,Closed
4512,C-Medium,10/20/2016,NGBA Phase 2,10/5/2016,1,Not Available,System Integration Test (SIT),A,Closed
4513,C-Medium,10/18/2016,NGBA Phase 2,10/5/2016,1,Not Available,System Integration Test (SIT),A,Closed
4520,D-Low,11/15/2016,NGBA Phase 2,10/7/2016,2,Detailed Business Requirements,System Integration Test (SIT),A,Closed
4521,D-Low,1/23/2017,NGBA Phase 2,10/7/2016,2,Detailed Design,System Integration Test (SIT),A,Closed
4522,C-Medium,10/20/2016,NGBA Phase 2,10/7/2016,2,Not Available,System Integration Test (SIT),A,Closed
5056,B-High,5/9/2017,NGBA Phase 2,5/2/2017,3,Component Integration,System Integration Test (SIT),A,Closed
5058,C-Medium,5/10/2017,NGBA Phase 2,5/4/2017,3,Detailed Design,System Integration Test (SIT),A,Closed
5060,C-Medium,5/11/2017,NGBA Phase 2,5/4/2017,3,Not Available,System Integration Test (SIT),A,Closed
5062,B-High,5/5/2017,NGBA Phase 2,5/5/2017,3,Installation,System Integration Test (SIT),A,Closed
5063,B-High,5/23/2017,NGBA Phase 2,5/5/2017,3,Component Code,System Integration Test (SIT),A,Closed
5065,C-Medium,9999-99-99,NGBA Phase 2,5/5/2017,3,Detailed Design,System Integration Test (SIT),A,Closed
5066,D-Low,9999-99-99,NGBA Phase 2,5/9/2017,4,Detailed Design,System Integration Test (SIT),A,Closed
5067,C-Medium,9999-99-99,NGBA Phase 2,5/9/2017,4,Not Available,System Integration Test (SIT),A,Closed
5068,D-Low,5/22/2017,NGBA Phase 2,5/10/2017,4,Component Code,System Integration Test (SIT),A,Closed
5070,C-Medium,5/10/2017,NGBA Phase 2,5/10/2017,4,Not Available,System Integration Test (SIT),A,Closed
5071,B-High,5/24/2017,NGBA Phase 2,5/10/2017,4,Test Script,System Integration Test (SIT),A,Closed
5072,C-Medium,5/10/2017,NGBA Phase 2,5/10/2017,4,Not Available,System Integration Test (SIT),A,Closed
5073,C-Medium,5/19/2017,NGBA Phase 2,5/10/2017,4,Not Available,System Integration Test (SIT),A,Closed
5074,D-Low,5/11/2017,NGBA Phase 2,5/10/2017,4,Not Available,System Integration Test (SIT),A,Closed
5075,D-Low,5/22/2017,NGBA Phase 2,5/10/2017,4,Component Code,System Integration Test (SIT),A,Closed
5076,B-High,5/22/2017,NGBA Phase 2,5/10/2017,4,Component Code,System Integration Test (SIT),A,Closed
5077,D-Low,5/11/2017,NGBA Phase 2,5/10/2017,4,Not Available,System Integration Test (SIT),A,Closed
5078,B-High,5/19/2017,NGBA Phase 2,5/10/2017,4,Not Available,System Integration Test (SIT),A,Closed
5079,C-Medium,5/22/2017,NGBA Phase 2,5/10/2017,4,Component Code,System Integration Test (SIT),A,Closed
5080,D-Low,9999-99-99,NGBA Phase 2,5/10/2017,4,Component Code,System Integration Test (SIT),A,Closed
5081,D-Low,5/19/2017,NGBA Phase 2,5/10/2017,4,Not Available,System Integration Test (SIT),A,Closed
5082,A-Critical,5/22/2017,NGBA Phase 2,5/10/2017,4,Component Code,System Integration Test (SIT),A,Closed
5083,D-Low,5/22/2017,NGBA Phase 2,5/11/2017,4,Component Code,System Integration Test (SIT),A,Closed
5084,C-Medium,5/11/2017,NGBA Phase 2,5/11/2017,4,Not Available,System Integration Test (SIT),A,Closed
5085,D-Low,5/12/2017,NGBA Phase 2,5/11/2017,4,Not Available,System Integration Test (SIT),A,Closed
5086,D-Low,5/22/2017,NGBA Phase 2,5/11/2017,4,Component Code,System Integration Test (SIT),A,Closed
5087,C-Medium,5/22/2017,NGBA Phase 2,5/11/2017,4,Middleware,System Integration Test (SIT),A,Closed
5089,D-Low,5/22/2017,NGBA Phase 2,5/11/2017,4,Component Code,System Integration Test (SIT),A,Closed
5090,D-Low,5/16/2017,NGBA Phase 2,5/12/2017,4,Not Available,System Integration Test (SIT),A,Closed
5091,D-Low,5/22/2017,NGBA Phase 2,5/12/2017,4,Component Code,System Integration Test (SIT),A,Closed
5093,C-Medium,5/19/2017,NGBA Phase 2,5/12/2017,4,Not Available,System Integration Test (SIT),A,Closed
5094,C-Medium,9999-99-99,NGBA Phase 2,5/12/2017,4,Detailed Design,System Integration Test (SIT),A,Closed
5095,C-Medium,9999-99-99,NGBA Phase 2,5/12/2017,4,Detailed Design,System Integration Test (SIT),A,Closed
5097,D-Low,5/22/2017,NGBA Phase 2,5/16/2017,5,Component Code,System Integration Test (SIT),A,Closed
5098,D-Low,5/22/2017,NGBA Phase 2,5/16/2017,5,Component Code,System Integration Test (SIT),A,Closed
5099,A-Critical,6/13/2017,NGBA Phase 2,5/18/2017,5,Not Available,System Integration Test (SIT),A,Closed
5100,C-Medium,9999-99-99,NGBA Phase 2,5/18/2017,5,Component Code,System Integration Test (SIT),A,Closed
5101,C-Medium,9999-99-99,NGBA Phase 2,5/19/2017,5,Detailed Design,System Integration Test (SIT),A,Closed
5102,B-High,6/6/2017,NGBA Phase 2,5/19/2017,5,Installation,System Integration Test (SIT),A,Closed
5103,B-High,9999-99-99,NGBA Phase 2,5/22/2017,6,Component Code,System Integration Test (SIT),A,Closed
5104,C-Medium,9999-99-99,NGBA Phase 2,5/23/2017,6,Component Code,System Integration Test (SIT),A,Closed
5105,A-Critical,6/23/2017,NGBA Phase 2,5/23/2017,6,Component Code,System Integration Test (SIT),A,Closed
5106,C-Medium,5/26/2017,NGBA Phase 2,5/23/2017,6,Test Tool,System Integration Test (SIT),A,Closed
5107,C-Medium,6/30/2017,NGBA Phase 2,5/24/2017,6,Component Code,System Integration Test (SIT),A,Closed
5108,C-Medium,6/30/2017,NGBA Phase 2,5/24/2017,6,Component Code,System Integration Test (SIT),A,Closed
5109,C-Medium,6/15/2017,NGBA Phase 2,5/30/2017,7,Component Code,System Integration Test (SIT),A,Closed
5110,C-Medium,5/31/2017,NGBA Phase 2,5/30/2017,7,Not Available,System Integration Test (SIT),A,Closed
5111,D-Low,6/20/2017,NGBA Phase 2,5/30/2017,7,Component Code,System Integration Test (SIT),A,Closed
5112,D-Low,9999-99-99,NGBA Phase 2,5/30/2017,7,Component Code,System Integration Test (SIT),A,Closed
5113,D-Low,6/19/2017,NGBA Phase 2,5/30/2017,7,Component Code,System Integration Test (SIT),A,Closed
5114,D-Low,6/19/2017,NGBA Phase 2,5/30/2017,7,Component Code,System Integration Test (SIT),A,Closed
5115,C-Medium,5/31/2017,NGBA Phase 2,5/30/2017,7,Not Available,System Integration Test (SIT),A,Closed
5116,D-Low,6/20/2017,NGBA Phase 2,5/30/2017,7,Component Code,System Integration Test (SIT),A,Closed
5117,D-Low,7/3/2017,NGBA Phase 2,5/30/2017,7,Component Code,System Integration Test (SIT),A,Closed
5118,D-Low,9999-99-99,NGBA Phase 2,5/30/2017,7,Detailed Design,System Integration Test (SIT),A,Closed
5119,D-Low,6/20/2017,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5120,D-Low,7/10/2017,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5121,C-Medium,6/20/2017,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5122,C-Medium,6/29/2017,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5123,D-Low,6/29/2017,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5124,C-Medium,6/20/2017,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5125,D-Low,6/21/2017,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5126,C-Medium,6/20/2017,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5127,C-Medium,6/20/2017,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5128,C-Medium,9999-99-99,NGBA Phase 2,5/31/2017,7,Not Available,System Integration Test (SIT),A,Closed
5129,D-Low,6/29/2017,NGBA Phase 2,5/31/2017,7,Not Available,System Integration Test (SIT),A,Closed
5130,C-Medium,6/20/2017,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5131,C-Medium,6/7/2017,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5132,C-Medium,9999-99-99,NGBA Phase 2,5/31/2017,7,Not Available,System Integration Test (SIT),A,Closed
5133,D-Low,6/15/2017,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5134,D-Low,7/4/2017,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5135,D-Low,6/20/2017,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5136,C-Medium,6/20/2017,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5137,C-Medium,6/20/2017,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5138,C-Medium,6/20/2017,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5139,D-Low,9999-99-99,NGBA Phase 2,5/31/2017,7,Not Available,System Integration Test (SIT),A,Closed
5140,C-Medium,7/4/2017,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5141,C-Medium,9999-99-99,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5142,D-Low,9999-99-99,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5143,C-Medium,6/20/2017,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5144,D-Low,9999-99-99,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5145,A-Critical,6/14/2017,NGBA Phase 2,5/31/2017,7,Component Code,System Integration Test (SIT),A,Closed
5146,C-Medium,7/6/2017,NGBA Phase 2,6/1/2017,7,Component Code,System Integration Test (SIT),A,Closed
5147,C-Medium,9999-99-99,NGBA Phase 2,6/1/2017,7,Not Available,System Integration Test (SIT),A,Closed
5148,D-Low,6/20/2017,NGBA Phase 2,6/1/2017,7,Component Code,System Integration Test (SIT),A,Closed
5149,A-Critical,6/13/2017,NGBA Phase 2,6/1/2017,7,Not Available,System Integration Test (SIT),A,Closed
5150,D-Low,6/6/2017,NGBA Phase 2,6/1/2017,7,Not Available,System Integration Test (SIT),A,Closed
5151,D-Low,9999-99-99,NGBA Phase 2,6/1/2017,7,Component Code,System Integration Test (SIT),A,Closed
5152,D-Low,6/12/2017,NGBA Phase 2,6/1/2017,7,Not Available,System Integration Test (SIT),A,Closed
5155,C-Medium,7/4/2017,NGBA Phase 2,6/6/2017,8,Reference Data,System Integration Test (SIT),A,Closed
5156,D-Low,6/20/2017,NGBA Phase 2,6/6/2017,8,Not Available,System Integration Test (SIT),A,Closed
5157,B-High,6/27/2017,NGBA Phase 2,6/6/2017,8,Component Code,System Integration Test (SIT),A,Closed
5158,D-Low,9999-99-99,NGBA Phase 2,6/6/2017,8,Middleware,System Integration Test (SIT),A,Closed
5159,B-High,9999-99-99,NGBA Phase 2,6/7/2017,8,Component Code,System Integration Test (SIT),A,Closed
5160,C-Medium,6/20/2017,NGBA Phase 2,6/7/2017,8,Component Code,System Integration Test (SIT),A,Closed
5161,B-High,6/20/2017,NGBA Phase 2,6/7/2017,8,Component Code,System Integration Test (SIT),A,Closed
5163,C-Medium,6/23/2017,NGBA Phase 2,6/7/2017,8,Middleware,System Integration Test (SIT),A,Closed
5164,B-High,6/12/2017,NGBA Phase 2,6/7/2017,8,Not Available,System Integration Test (SIT),A,Closed
5165,B-High,6/12/2017,NGBA Phase 2,6/8/2017,8,Middleware,System Integration Test (SIT),A,Closed
5167,C-Medium,6/20/2017,NGBA Phase 2,6/8/2017,8,Component Code,System Integration Test (SIT),A,Closed
5168,C-Medium,6/20/2017,NGBA Phase 2,6/8/2017,8,Component Code,System Integration Test (SIT),A,Closed
5169,B-High,6/20/2017,NGBA Phase 2,6/8/2017,8,Component Code,System Integration Test (SIT),A,Closed
5171,C-Medium,6/14/2017,NGBA Phase 2,6/9/2017,8,Not Available,System Integration Test (SIT),A,Closed
5172,C-Medium,6/20/2017,NGBA Phase 2,6/9/2017,8,Component Code,System Integration Test (SIT),A,Closed
5173,A-Critical,9999-99-99,NGBA Phase 2,6/12/2017,9,Component Integration,System Integration Test (SIT),A,Closed
5175,B-High,7/3/2017,NGBA Phase 2,6/12/2017,9,Not Available,System Integration Test (SIT),A,Closed
5176,B-High,6/20/2017,NGBA Phase 2,6/12/2017,9,Component Code,System Integration Test (SIT),A,Closed
5177,D-Low,9999-99-99,NGBA Phase 2,6/13/2017,9,Not Available,System Integration Test (SIT),A,Closed
5178,C-Medium,6/28/2017,NGBA Phase 2,6/13/2017,9,Middleware,System Integration Test (SIT),A,Closed
5179,A-Critical,6/20/2017,NGBA Phase 2,6/13/2017,9,Component Code,System Integration Test (SIT),A,Closed
5180,B-High,9999-99-99,NGBA Phase 2,6/13/2017,9,Detailed Design,System Integration Test (SIT),A,Closed
5181,C-Medium,6/16/2017,NGBA Phase 2,6/13/2017,9,Not Available,System Integration Test (SIT),A,Closed
5182,D-Low,6/15/2017,NGBA Phase 2,6/14/2017,9,Not Available,System Integration Test (SIT),A,Closed
5183,D-Low,6/29/2017,NGBA Phase 2,6/14/2017,9,Not Available,System Integration Test (SIT),A,Closed
5184,C-Medium,6/15/2017,NGBA Phase 2,6/14/2017,9,Not Available,System Integration Test (SIT),A,Closed
5185,D-Low,6/21/2017,NGBA Phase 2,6/14/2017,9,Component Code,System Integration Test (SIT),A,Closed
5186,D-Low,6/21/2017,NGBA Phase 2,6/14/2017,9,Component Code,System Integration Test (SIT),A,Closed
5188,D-Low,6/21/2017,NGBA Phase 2,6/14/2017,9,Component Code,System Integration Test (SIT),A,Closed
5189,D-Low,6/15/2017,NGBA Phase 2,6/14/2017,9,Not Available,System Integration Test (SIT),A,Closed
5190,C-Medium,9999-99-99,NGBA Phase 2,6/14/2017,9,System Integration,System Integration Test (SIT),A,Closed
5191,C-Medium,9999-99-99,NGBA Phase 2,6/14/2017,9,Not Available,System Integration Test (SIT),A,Closed
5195,C-Medium,9999-99-99,NGBA Phase 2,6/14/2017,9,Detailed Design,System Integration Test (SIT),A,Closed
5196,B-High,6/23/2017,NGBA Phase 2,6/14/2017,9,Middleware,System Integration Test (SIT),A,Closed
5197,B-High,6/20/2017,NGBA Phase 2,6/14/2017,9,Component Integration,System Integration Test (SIT),A,Closed
5198,A-Critical,9999-99-99,NGBA Phase 2,6/14/2017,9,Component Code,System Integration Test (SIT),A,Closed
5199,D-Low,9999-99-99,NGBA Phase 2,6/15/2017,9,Component Code,System Integration Test (SIT),A,Closed
5200,D-Low,9999-99-99,NGBA Phase 2,6/15/2017,9,Not Available,System Integration Test (SIT),A,Closed
5201,C-Medium,9999-99-99,NGBA Phase 2,6/15/2017,9,Component Code,System Integration Test (SIT),A,Closed
5202,C-Medium,6/20/2017,NGBA Phase 2,6/15/2017,9,Component Code,System Integration Test (SIT),A,Closed
5203,B-High,7/3/2017,NGBA Phase 2,6/15/2017,9,Component Code,System Integration Test (SIT),A,Closed
5204,C-Medium,9999-99-99,NGBA Phase 2,6/15/2017,9,Component Code,System Integration Test (SIT),A,Closed
5205,D-Low,6/21/2017,NGBA Phase 2,6/15/2017,9,Component Code,System Integration Test (SIT),A,Closed
5206,C-Medium,7/10/2017,NGBA Phase 2,6/15/2017,9,Component Code,System Integration Test (SIT),A,Closed
5207,D-Low,9999-99-99,NGBA Phase 2,6/15/2017,9,Application Data,System Integration Test (SIT),A,Closed
5208,C-Medium,6/16/2017,NGBA Phase 2,6/15/2017,9,Not Available,System Integration Test (SIT),A,Closed
5210,A-Critical,6/20/2017,NGBA Phase 2,6/16/2017,9,Component Integration,System Integration Test (SIT),A,Closed
5211,C-Medium,6/21/2017,NGBA Phase 2,6/16/2017,9,Component Code,System Integration Test (SIT),A,Closed
5212,C-Medium,6/21/2017,NGBA Phase 2,6/16/2017,9,Component Code,System Integration Test (SIT),A,Closed
5213,C-Medium,9999-99-99,NGBA Phase 2,6/16/2017,9,Component Code,System Integration Test (SIT),A,Closed
5214,D-Low,7/11/2017,NGBA Phase 2,6/19/2017,10,Component Code,System Integration Test (SIT),A,Closed
5215,D-Low,6/29/2017,NGBA Phase 2,6/19/2017,10,Component Code,System Integration Test (SIT),A,Closed
5216,B-High,6/21/2017,NGBA Phase 2,6/19/2017,10,Component Code,System Integration Test (SIT),A,Closed
5217,C-Medium,6/19/2017,NGBA Phase 2,6/19/2017,10,Not Available,System Integration Test (SIT),A,Closed
5218,D-Low,9999-99-99,NGBA Phase 2,6/19/2017,10,Detailed Design,System Integration Test (SIT),A,Closed
5219,A-Critical,6/27/2017,NGBA Phase 2,6/19/2017,10,Installation,System Integration Test (SIT),A,Closed
5220,C-Medium,6/27/2017,NGBA Phase 2,6/19/2017,10,Application Data,System Integration Test (SIT),A,Closed
5221,C-Medium,9999-99-99,NGBA Phase 2,6/20/2017,10,Component Code,System Integration Test (SIT),A,Closed
5222,D-Low,9999-99-99,NGBA Phase 2,6/20/2017,10,Not Available,System Integration Test (SIT),A,Closed
5223,D-Low,6/22/2017,NGBA Phase 2,6/20/2017,10,Not Available,System Integration Test (SIT),A,Closed
5224,C-Medium,7/4/2017,NGBA Phase 2,6/20/2017,10,Component Code,System Integration Test (SIT),A,Closed
5227,C-Medium,9999-99-99,NGBA Phase 2,6/20/2017,10,Component Code,System Integration Test (SIT),A,Closed
5228,D-Low,9999-99-99,NGBA Phase 2,6/20/2017,10,Component Code,System Integration Test (SIT),A,Closed
5229,C-Medium,9999-99-99,NGBA Phase 2,6/20/2017,10,Not Available,System Integration Test (SIT),A,Closed
5230,C-Medium,6/26/2017,NGBA Phase 2,6/20/2017,10,Middleware,System Integration Test (SIT),A,Closed
5231,D-Low,7/3/2017,NGBA Phase 2,6/21/2017,10,Not Available,System Integration Test (SIT),A,Closed
5233,C-Medium,6/30/2017,NGBA Phase 2,6/21/2017,10,Reference Data,System Integration Test (SIT),A,Closed
5234,C-Medium,7/4/2017,NGBA Phase 2,6/21/2017,10,Not Available,System Integration Test (SIT),A,Closed
5235,B-High,9999-99-99,NGBA Phase 2,6/21/2017,10,Middleware,System Integration Test (SIT),A,Closed
5236,B-High,6/28/2017,NGBA Phase 2,6/22/2017,10,Middleware,System Integration Test (SIT),A,Closed
5237,D-Low,7/4/2017,NGBA Phase 2,6/22/2017,10,Not Available,System Integration Test (SIT),A,Closed
5238,D-Low,6/23/2017,NGBA Phase 2,6/22/2017,10,Not Available,System Integration Test (SIT),A,Closed
5239,B-High,9999-99-99,NGBA Phase 2,6/22/2017,10,Component Code,System Integration Test (SIT),A,Closed
5240,C-Medium,6/23/2017,NGBA Phase 2,6/22/2017,10,Component Code,System Integration Test (SIT),A,Closed
5241,C-Medium,6/28/2017,NGBA Phase 2,6/22/2017,10,Application Data,System Integration Test (SIT),A,Closed
5242,C-Medium,6/28/2017,NGBA Phase 2,6/22/2017,10,Application Data,System Integration Test (SIT),A,Closed
5243,B-High,7/10/2017,NGBA Phase 2,6/22/2017,10,Not Available,System Integration Test (SIT),A,Closed
5244,C-Medium,7/3/2017,NGBA Phase 2,6/23/2017,10,Reference Data,System Integration Test (SIT),A,Closed
5245,B-High,6/28/2017,NGBA Phase 2,6/23/2017,10,Not Available,System Integration Test (SIT),A,Closed
5246,C-Medium,9999-99-99,NGBA Phase 2,6/23/2017,10,Detailed Design,System Integration Test (SIT),A,Closed
5247,B-High,7/10/2017,NGBA Phase 2,6/23/2017,10,Component Code,System Integration Test (SIT),A,Closed
5249,B-High,6/27/2017,NGBA Phase 2,6/23/2017,10,Middleware,System Integration Test (SIT),A,Closed
5250,B-High,6/30/2017,NGBA Phase 2,6/26/2017,11,Not Available,System Integration Test (SIT),A,Closed
5251,B-High,9999-99-99,NGBA Phase 2,6/26/2017,11,Component Code,System Integration Test (SIT),A,Closed
5252,C-Medium,6/28/2017,NGBA Phase 2,6/26/2017,11,Not Available,System Integration Test (SIT),A,Closed
5253,A-Critical,7/6/2017,NGBA Phase 2,6/27/2017,11,Middleware,System Integration Test (SIT),A,Closed
5254,C-Medium,9999-99-99,NGBA Phase 2,6/27/2017,11,Not Available,System Integration Test (SIT),A,Closed
5255,B-High,6/29/2017,NGBA Phase 2,6/27/2017,11,Middleware,System Integration Test (SIT),A,Closed
5256,C-Medium,9999-99-99,NGBA Phase 2,6/27/2017,11,Not Available,System Integration Test (SIT),A,Closed
5258,C-Medium,9999-99-99,NGBA Phase 2,6/28/2017,11,Not Available,System Integration Test (SIT),A,Closed
5259,C-Medium,9999-99-99,NGBA Phase 2,6/28/2017,11,Not Available,System Integration Test (SIT),A,Closed
5260,A-Critical,9999-99-99,NGBA Phase 2,6/28/2017,11,Not Available,System Integration Test (SIT),A,Closed
5261,B-High,7/3/2017,NGBA Phase 2,6/29/2017,11,Not Available,System Integration Test (SIT),A,Closed
5262,C-Medium,9999-99-99,NGBA Phase 2,6/29/2017,11,Component Code,System Integration Test (SIT),A,Closed
5265,D-Low,9999-99-99,NGBA Phase 2,6/30/2017,11,Not Available,System Integration Test (SIT),A,Closed
5266,D-Low,7/4/2017,NGBA Phase 2,6/30/2017,11,Not Available,System Integration Test (SIT),A,Closed
5267,C-Medium,9999-99-99,NGBA Phase 2,6/30/2017,11,Component Code,System Integration Test (SIT),A,Closed
5268,D-Low,7/3/2017,NGBA Phase 2,6/30/2017,11,Not Available,System Integration Test (SIT),A,Closed
